TIME,GEO,INDUSTRY,EMISSION
2004,European Union (28 countries),Total - All NACE activities,-1
2004,European Union (28 countries),Agriculture_ forestry and fishing,-1
2004,European Union (28 countries),Mining and quarrying,-1
2004,European Union (28 countries),Manufacturing,-1
2004,European Union (28 countries),Electricity_ gas_ steam and air conditioning supply,-1
2004,European Union (28 countries),Water supply_ sewerage_ waste management and remediation activities,-1
2004,European Union (28 countries),Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,European Union (28 countries),Transportation and storage,-1
2004,European Union (28 countries),Accommodation and food service activities,-1
2004,European Union (28 countries),Information and communication,-1
2004,European Union (28 countries),Financial and insurance activities,-1
2004,European Union (28 countries),Real estate activities,-1
2004,European Union (28 countries),Professional_ scientific and technical activities,-1
2004,European Union (28 countries),Administrative and support service activities,-1
2004,European Union (28 countries),Public administration and defence_ compulsory social security,-1
2004,European Union (28 countries),Education,-1
2004,European Union (28 countries),Human health and social work activities,-1
2004,European Union (28 countries),Arts_ entertainment and recreation,-1
2004,European Union (28 countries),Other service activities,-1
2004,European Union (28 countries),Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,European Union (28 countries),Activities of extraterritorial organisations and bodies,-1
2004,European Union (27 countries),Total - All NACE activities,-1
2004,European Union (27 countries),Agriculture_ forestry and fishing,-1
2004,European Union (27 countries),Mining and quarrying,-1
2004,European Union (27 countries),Manufacturing,-1
2004,European Union (27 countries),Electricity_ gas_ steam and air conditioning supply,-1
2004,European Union (27 countries),Water supply_ sewerage_ waste management and remediation activities,-1
2004,European Union (27 countries),Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,European Union (27 countries),Transportation and storage,-1
2004,European Union (27 countries),Accommodation and food service activities,-1
2004,European Union (27 countries),Information and communication,-1
2004,European Union (27 countries),Financial and insurance activities,-1
2004,European Union (27 countries),Real estate activities,-1
2004,European Union (27 countries),Professional_ scientific and technical activities,-1
2004,European Union (27 countries),Administrative and support service activities,-1
2004,European Union (27 countries),Public administration and defence_ compulsory social security,-1
2004,European Union (27 countries),Education,-1
2004,European Union (27 countries),Human health and social work activities,-1
2004,European Union (27 countries),Arts_ entertainment and recreation,-1
2004,European Union (27 countries),Other service activities,-1
2004,European Union (27 countries),Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,European Union (27 countries),Activities of extraterritorial organisations and bodies,-1
2004,Belgium,Total - All NACE activities,102371637
2004,Belgium,Agriculture_ forestry and fishing,2771869
2004,Belgium,Mining and quarrying,14394
2004,Belgium,Manufacturing,45156202
2004,Belgium,Electricity_ gas_ steam and air conditioning supply,24242852
2004,Belgium,Water supply_ sewerage_ waste management and remediation activities,703096
2004,Belgium,Wholesale and retail trade_ repair of motor vehicles and motorcycles,3053350
2004,Belgium,Transportation and storage,16348424
2004,Belgium,Accommodation and food service activities,622926
2004,Belgium,Information and communication,605551
2004,Belgium,Financial and insurance activities,216211
2004,Belgium,Real estate activities,121521
2004,Belgium,Professional_ scientific and technical activities,939936
2004,Belgium,Administrative and support service activities,1532018
2004,Belgium,Public administration and defence_ compulsory social security,1613880
2004,Belgium,Education,840137
2004,Belgium,Human health and social work activities,765062
2004,Belgium,Arts_ entertainment and recreation,210235
2004,Belgium,Other service activities,367242
2004,Belgium,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,0
2004,Belgium,Activities of extraterritorial organisations and bodies,0
2004,Bulgaria,Total - All NACE activities,-1
2004,Bulgaria,Agriculture_ forestry and fishing,-1
2004,Bulgaria,Mining and quarrying,-1
2004,Bulgaria,Manufacturing,-1
2004,Bulgaria,Electricity_ gas_ steam and air conditioning supply,-1
2004,Bulgaria,Water supply_ sewerage_ waste management and remediation activities,-1
2004,Bulgaria,Wholesale and retail trade_ repair of motor vehicles and motorcycles,-1
2004,Bulgaria,Transportation and storage,-1
2004,Bulgaria,Accommodation and food service activities,-1
2004,Bulgaria,Information and communication,-1
2004,Bulgaria,Financial and insurance activities,-1
2004,Bulgaria,Real estate activities,-1
2004,Bulgaria,Professional_ scientific and technical activities,-1
2004,Bulgaria,Administrative and support service activities,-1
2004,Bulgaria,Public administration and defence_ compulsory social security,-1
2004,Bulgaria,Education,-1
2004,Bulgaria,Human health and social work activities,-1
2004,Bulgaria,Arts_ entertainment and recreation,-1
2004,Bulgaria,Other service activities,-1
2004,Bulgaria,Activities of households as employers_ undifferentiated goods- and services-producing activities of households for own use,-1
2004,Bulgaria,Activities of extraterritorial organisations and bodies,-1
2004,Czech Republic,Total - All NACE activities,-1
2004,Czech Republic,Agriculture_ forestry and fishing,-1
2004,Czech Republic,Mining and quarrying,-1
2004,Czech Republic,Manufacturing,-1
2004,Czech Republic,Electricity_ gas_ steam and air conditioning supply,-1
