"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MUNICIPAL","Municipal waste generated","1992","1992","TONNE","Tonnes","3","thousands",,,12000,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2000","2000","TONNE","Tonnes","3","thousands",,,13200,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2009","2009","TONNE","Tonnes","3","thousands",,,14035,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2011","2011","TONNE","Tonnes","3","thousands",,,14037,,
"AUS","Australia","HOUSEHOLD","Waste from households","1992","1992","TONNE","Tonnes","3","thousands",,,7000,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2000","2000","TONNE","Tonnes","3","thousands",,,7660,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2003","2003","TONNE","Tonnes","3","thousands",,,8903,,
"AUS","Australia","HOUSEHOLD","Waste from households","2007","2007","TONNE","Tonnes","3","thousands",,,12727,,
"AUS","Australia","TREATMENT","Municipal waste treated","2003","2003","TONNE","Tonnes","3","thousands",,,8903,,
"AUS","Australia","TREATMENT","Municipal waste treated","2009","2009","TONNE","Tonnes","3","thousands",,,14035,,
"AUS","Australia","TREATMENT","Municipal waste treated","2011","2011","TONNE","Tonnes","3","thousands",,,14037,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2003","2003","TONNE","Tonnes","3","thousands",,,2701,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2009","2009","TONNE","Tonnes","3","thousands",,,5902.94,"B","Break"
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2011","2011","TONNE","Tonnes","3","thousands",,,7225,,
"AUS","Australia","RECYCLING","Recycling","2003","2003","TONNE","Tonnes","3","thousands",,,2701,,
"AUS","Australia","RECYCLING","Recycling","2009","2009","TONNE","Tonnes","3","thousands",,,5751,"B","Break"
"AUS","Australia","RECYCLING","Recycling","2011","2011","TONNE","Tonnes","3","thousands",,,6341,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2009","2009","TONNE","Tonnes","3","thousands",,,151.94,"B","Break"
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2011","2011","TONNE","Tonnes","3","thousands",,,884,,
"AUS","Australia","DISPOSAL","Disposal operations","2003","2003","TONNE","Tonnes","3","thousands",,,6202,,
"AUS","Australia","DISPOSAL","Disposal operations","2009","2009","TONNE","Tonnes","3","thousands",,,8132,"B","Break"
"AUS","Australia","DISPOSAL","Disposal operations","2011","2011","TONNE","Tonnes","3","thousands",,,6813,,
"AUS","Australia","LANDFILL","Landfill","2003","2003","TONNE","Tonnes","3","thousands",,,6202,,
"AUS","Australia","LANDFILL","Landfill","2009","2009","TONNE","Tonnes","3","thousands",,,8132,"B","Break"
"AUS","Australia","LANDFILL","Landfill","2011","2011","TONNE","Tonnes","3","thousands",,,6813,,
"AUS","Australia","RECYCLING_SHARE","% Recycling","2003","2003","PC","Percentage","0","units",,,30.338,,
"AUS","Australia","RECYCLING_SHARE","% Recycling","2009","2009","PC","Percentage","0","units",,,40.976,"B","Break"
"AUS","Australia","RECYCLING_SHARE","% Recycling","2011","2011","PC","Percentage","0","units",,,45.173,,
"AUS","Australia","INC_WITH_SHARE","% Incineration with energy recovery","2009","2009","PC","Percentage","0","units",,,1.083,"B","Break"
"AUS","Australia","INC_WITH_SHARE","% Incineration with energy recovery","2011","2011","PC","Percentage","0","units",,,6.298,,
"AUS","Australia","LANDF_SHARE","% Landfill","2003","2003","PC","Percentage","0","units",,,69.662,,
"AUS","Australia","LANDF_SHARE","% Landfill","2009","2009","PC","Percentage","0","units",,,57.941,"B","Break"
"AUS","Australia","LANDF_SHARE","% Landfill","2011","2011","PC","Percentage","0","units",,,48.536,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1990","1990","TONNE","Tonnes","3","thousands",,,3204,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1991","1991","TONNE","Tonnes","3","thousands",,,3126,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1992","1992","TONNE","Tonnes","3","thousands",,,3176,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1993","1993","TONNE","Tonnes","3","thousands",,,3341,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1994","1994","TONNE","Tonnes","3","thousands",,,3400,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1995","1995","TONNE","Tonnes","3","thousands",,,3476,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1996","1996","TONNE","Tonnes","3","thousands",,,3845,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1997","1997","TONNE","Tonnes","3","thousands",,,3977,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1998","1998","TONNE","Tonnes","3","thousands",,,3983,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","1999","1999","TONNE","Tonnes","3","thousands",,,4171,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2000","2000","TONNE","Tonnes","3","thousands",,,4321,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2001","2001","TONNE","Tonnes","3","thousands",,,4309,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2002","2002","TONNE","Tonnes","3","thousands",,,4589,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2003","2003","TONNE","Tonnes","3","thousands",,,4607,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2004","2004","TONNE","Tonnes","3","thousands",,,4686.7,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2005","2005","TONNE","Tonnes","3","thousands",,,4731.7,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2006","2006","TONNE","Tonnes","3","thousands",,,4932.5,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2007","2007","TONNE","Tonnes","3","thousands",,,4951.1,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2008","2008","TONNE","Tonnes","3","thousands",,,4996.9,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2009","2009","TONNE","Tonnes","3","thousands",,,4921,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2010","2010","TONNE","Tonnes","3","thousands",,,4700.8,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2011","2011","TONNE","Tonnes","3","thousands",,,4806.9,,
"AUT","Austria","MUNICIPAL","Municipal waste generated","2012","2012","TONNE","Tonnes","3","thousands",,,4883.3,,
