"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","257,516.0",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","201,544.1",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","12,277.3",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","4,826.0",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","6,404.9",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","42,060.6",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","14,842.4",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","116,473.5",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","2,712.6",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Hungary","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","3,584.5",""
"2005","Malta","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Netherlands","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","1,031.0",""
"2005","Austria","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Poland","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Portugal","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Romania","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","1,432.9",""
"2005","Slovenia","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","1,517.8",""
"2005","Slovakia","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","4,626.1",""
"2005","Finland","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","6,002.8",""
"2005","Sweden","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","18,669.9",""
"2005","United Kingdom","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","21,053.7",""
"2005","Iceland","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Norway","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Montenegro","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Former Yugoslav Republic of Macedonia, the","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Albania","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
"2005","Serbia","Thousand TOE (tonnes of oil equivalent)","Nuclear heat","Gross inland consumption","0.0",""
