"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand tonnes","Renewable energies","Gross inland consumption",":",""
"2005","European Union (28 countries)","Thousand tonnes","Hydro power","Gross inland consumption",":",""
"2005","European Union (28 countries)","Thousand tonnes","Wind power","Gross inland consumption",":",""
"2005","European Union (28 countries)","Thousand tonnes","Solar thermal","Gross inland consumption",":",""
"2005","European Union (28 countries)","Thousand tonnes","Solar photovoltaic","Gross inland consumption",":",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Renewable energies","Gross inland consumption","121,014.1",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Hydro power","Gross inland consumption","26,904.3",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Wind power","Gross inland consumption","6,057.9",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Solar thermal","Gross inland consumption","703.4",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Solar photovoltaic","Gross inland consumption","125.6",""
"2005","European Union (28 countries)","Terajoule","Renewable energies","Gross inland consumption","5,066,617.1",""
"2005","European Union (28 countries)","Terajoule","Hydro power","Gross inland consumption","1,126,429.2",""
"2005","European Union (28 countries)","Terajoule","Wind power","Gross inland consumption","253,630.8",""
"2005","European Union (28 countries)","Terajoule","Solar thermal","Gross inland consumption","29,452.0",""
"2005","European Union (28 countries)","Terajoule","Solar photovoltaic","Gross inland consumption","5,257.7",""
"2005","Euro area (19 countries)","Thousand tonnes","Renewable energies","Gross inland consumption",":",""
"2005","Euro area (19 countries)","Thousand tonnes","Hydro power","Gross inland consumption",":",""
"2005","Euro area (19 countries)","Thousand tonnes","Wind power","Gross inland consumption",":",""
"2005","Euro area (19 countries)","Thousand tonnes","Solar thermal","Gross inland consumption",":",""
"2005","Euro area (19 countries)","Thousand tonnes","Solar photovoltaic","Gross inland consumption",":",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Renewable energies","Gross inland consumption","84,024.3",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Hydro power","Gross inland consumption","17,092.5",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Wind power","Gross inland consumption","5,143.4",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Solar thermal","Gross inland consumption","651.4",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Solar photovoltaic","Gross inland consumption","124.5",""
"2005","Euro area (19 countries)","Terajoule","Renewable energies","Gross inland consumption","3,517,928.7",""
"2005","Euro area (19 countries)","Terajoule","Hydro power","Gross inland consumption","715,629.6",""
"2005","Euro area (19 countries)","Terajoule","Wind power","Gross inland consumption","215,344.8",""
"2005","Euro area (19 countries)","Terajoule","Solar thermal","Gross inland consumption","27,271.0",""
"2005","Euro area (19 countries)","Terajoule","Solar photovoltaic","Gross inland consumption","5,211.3",""
