"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand tonnes","Solid fuels","Gross inland consumption","832,867",""
"2005","European Union (28 countries)","Thousand tonnes","Hard coal and derivatives","Gross inland consumption","365,589",""
"2005","European Union (28 countries)","Thousand tonnes","Patent Fuels","Gross inland consumption","86",""
"2005","European Union (28 countries)","Thousand tonnes","Anthracite","Gross inland consumption","9,287",""
"2005","European Union (28 countries)","Thousand tonnes","Coking Coal","Gross inland consumption","80,220",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Solid fuels","Gross inland consumption","318,130.6",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Hard coal and derivatives","Gross inland consumption","222,296.5",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Patent Fuels","Gross inland consumption","60.2",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Anthracite","Gross inland consumption","5,395.7",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Coking Coal","Gross inland consumption","56,463.6",""
"2005","European Union (28 countries)","Terajoule","Solid fuels","Gross inland consumption","13,319,493",""
"2005","European Union (28 countries)","Terajoule","Hard coal and derivatives","Gross inland consumption","9,307,110",""
"2005","European Union (28 countries)","Terajoule","Patent Fuels","Gross inland consumption","2,520",""
"2005","European Union (28 countries)","Terajoule","Anthracite","Gross inland consumption","225,906",""
"2005","European Union (28 countries)","Terajoule","Coking Coal","Gross inland consumption","2,364,018",""
"2005","Euro area (19 countries)","Thousand tonnes","Solid fuels","Gross inland consumption","487,761",""
"2005","Euro area (19 countries)","Thousand tonnes","Hard coal and derivatives","Gross inland consumption","197,361",""
"2005","Euro area (19 countries)","Thousand tonnes","Patent Fuels","Gross inland consumption","90",""
"2005","Euro area (19 countries)","Thousand tonnes","Anthracite","Gross inland consumption","7,741",""
"2005","Euro area (19 countries)","Thousand tonnes","Coking Coal","Gross inland consumption","51,491",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Solid fuels","Gross inland consumption","179,795.2",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Hard coal and derivatives","Gross inland consumption","123,714.3",""
