"TIME","GEO","UNIT","AIRPOL","AIREMSECT","Value","Flag and Footnotes"
"2004","European Union (28 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","4,944,709.96",""
"2004","European Union (28 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","5,391,243",""
"2004","European Union (28 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","5,266,301.97",""
"2004","European Union (15 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","4,067,764.57",""
"2004","European Union (15 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","4,384,945.49",""
"2004","European Union (15 countries)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","4,265,229.07",""
"2004","Belgium","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","146,096.85",""
"2004","Belgium","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","152,950.81",""
"2004","Belgium","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","149,189.47",""
"2004","Bulgaria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","54,918.23",""
"2004","Bulgaria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","64,466.71",""
"2004","Bulgaria","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","64,003.42",""
"2004","Czech Republic","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","140,258.24",""
"2004","Czech Republic","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","147,316.52",""
"2004","Czech Republic","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","146,374.47",""
"2004","Denmark","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","75,944.6",""
"2004","Denmark","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","72,247.17",""
"2004","Denmark","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","69,815.7",""
"2004","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","1,008,162.72",""
"2004","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding LULUCF and memo items CRF_1D1B, CRF_1D2, and CRF_1D3 (including international aviation)","1,038,741.34",""
"2004","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items and LULUCF","1,017,773.36",""
"2004","Estonia","Thousand tonnes","Greenhouse Gas Emissions (CO2 equivalent)","All sectors excluding all memo items","16,306.17",""
