"WASTE","GEO","UNIT","HAZARD","NACE_R2","TIME","Value","Flag and Footnotes"
"Total Waste","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","2,514,220,000",""
"Total Waste","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","2,510,840,000",""
"Total Waste","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","2,082,620,000",""
"Total Waste","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","1,833,270,000",""
"Total Waste","Belgium","Tonne","Total","All NACE activities plus households","2012","67,630,317",""
"Total Waste","Bulgaria","Tonne","Total","All NACE activities plus households","2012","161,252,166",""
"Total Waste","Czech Republic","Tonne","Total","All NACE activities plus households","2012","23,171,358",""
"Total Waste","Denmark","Tonne","Total","All NACE activities plus households","2012","16,332,249",""
"Total Waste","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","368,022,172",""
"Total Waste","Estonia","Tonne","Total","All NACE activities plus households","2012","21,992,343",""
"Total Waste","Ireland","Tonne","Total","All NACE activities plus households","2012","13,421,334",""
"Total Waste","Greece","Tonne","Total","All NACE activities plus households","2012","72,328,280",""
"Total Waste","Spain","Tonne","Total","All NACE activities plus households","2012","118,561,669",""
"Total Waste","France","Tonne","Total","All NACE activities plus households","2012","344,731,922",""
"Total Waste","Croatia","Tonne","Total","All NACE activities plus households","2012","3,378,638",""
"Total Waste","Italy","Tonne","Total","All NACE activities plus households","2012","162,764,632",""
"Total Waste","Cyprus","Tonne","Total","All NACE activities plus households","2012","2,086,469",""
"Total Waste","Latvia","Tonne","Total","All NACE activities plus households","2012","2,309,581",""
"Total Waste","Lithuania","Tonne","Total","All NACE activities plus households","2012","5,678,751",""
"Total Waste","Luxembourg","Tonne","Total","All NACE activities plus households","2012","8,397,228",""
"Total Waste","Hungary","Tonne","Total","All NACE activities plus households","2012","16,310,151",""
"Total Waste","Malta","Tonne","Total","All NACE activities plus households","2012","1,452,496",""
"Total Waste","Netherlands","Tonne","Total","All NACE activities plus households","2012","123,612,767",""
"Total Waste","Austria","Tonne","Total","All NACE activities plus households","2012","34,047,465",""
"Total Waste","Poland","Tonne","Total","All NACE activities plus households","2012","163,377,949",""
"Total Waste","Portugal","Tonne","Total","All NACE activities plus households","2012","14,184,456",""
"Total Waste","Romania","Tonne","Total","All NACE activities plus households","2012","266,975,602",""
"Total Waste","Slovenia","Tonne","Total","All NACE activities plus households","2012","4,546,506",""
"Total Waste","Slovakia","Tonne","Total","All NACE activities plus households","2012","8,425,384",""
"Total Waste","Finland","Tonne","Total","All NACE activities plus households","2012","91,824,193",""
"Total Waste","Sweden","Tonne","Total","All NACE activities plus households","2012","156,306,504",""
"Total Waste","United Kingdom","Tonne","Total","All NACE activities plus households","2012","241,100,639",""
"Total Waste","Iceland","Tonne","Total","All NACE activities plus households","2012","529,351",""
"Total Waste","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","466,547",""
"Total Waste","Norway","Tonne","Total","All NACE activities plus households","2012","10,720,872",""
"Total Waste","Montenegro","Tonne","Total","All NACE activities plus households","2012","385,507",""
"Total Waste","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","8,472,343",""
"Total Waste","Serbia","Tonne","Total","All NACE activities plus households","2012","55,002,574",""
"Total Waste","Turkey","Tonne","Total","All NACE activities plus households","2012","1,013,225,938",""
"Total Waste","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","4,456,556",""
"Total Waste","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","1,166,619",""
"Chemical and medical wastes (subtotal)","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","57,880,000",""
"Chemical and medical wastes (subtotal)","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","57,840,000",""
"Chemical and medical wastes (subtotal)","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","56,610,000",""
"Chemical and medical wastes (subtotal)","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","50,130,000",""
"Chemical and medical wastes (subtotal)","Belgium","Tonne","Total","All NACE activities plus households","2012","3,906,855",""
"Chemical and medical wastes (subtotal)","Bulgaria","Tonne","Total","All NACE activities plus households","2012","201,251",""
"Chemical and medical wastes (subtotal)","Czech Republic","Tonne","Total","All NACE activities plus households","2012","843,167",""
"Chemical and medical wastes (subtotal)","Denmark","Tonne","Total","All NACE activities plus households","2012","294,064",""
"Chemical and medical wastes (subtotal)","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","8,662,166",""
"Chemical and medical wastes (subtotal)","Estonia","Tonne","Total","All NACE activities plus households","2012","1,606,996",""
"Chemical and medical wastes (subtotal)","Ireland","Tonne","Total","All NACE activities plus households","2012","1,638,263",""
"Chemical and medical wastes (subtotal)","Greece","Tonne","Total","All NACE activities plus households","2012","174,524",""
"Chemical and medical wastes (subtotal)","Spain","Tonne","Total","All NACE activities plus households","2012","3,181,435",""
"Chemical and medical wastes (subtotal)","France","Tonne","Total","All NACE activities plus households","2012","5,212,930",""
"Chemical and medical wastes (subtotal)","Croatia","Tonne","Total","All NACE activities plus households","2012","44,960",""
"Chemical and medical wastes (subtotal)","Italy","Tonne","Total","All NACE activities plus households","2012","15,789,252",""
"Chemical and medical wastes (subtotal)","Cyprus","Tonne","Total","All NACE activities plus households","2012","19,222",""
"Chemical and medical wastes (subtotal)","Latvia","Tonne","Total","All NACE activities plus households","2012","40,729",""
"Chemical and medical wastes (subtotal)","Lithuania","Tonne","Total","All NACE activities plus households","2012","56,073",""
"Chemical and medical wastes (subtotal)","Luxembourg","Tonne","Total","All NACE activities plus households","2012","39,858",""
"Chemical and medical wastes (subtotal)","Hungary","Tonne","Total","All NACE activities plus households","2012","557,934",""
"Chemical and medical wastes (subtotal)","Malta","Tonne","Total","All NACE activities plus households","2012","12,433",""
"Chemical and medical wastes (subtotal)","Netherlands","Tonne","Total","All NACE activities plus households","2012","2,536,241",""
"Chemical and medical wastes (subtotal)","Austria","Tonne","Total","All NACE activities plus households","2012","606,941",""
"Chemical and medical wastes (subtotal)","Poland","Tonne","Total","All NACE activities plus households","2012","2,511,001",""
"Chemical and medical wastes (subtotal)","Portugal","Tonne","Total","All NACE activities plus households","2012","695,924",""
"Chemical and medical wastes (subtotal)","Romania","Tonne","Total","All NACE activities plus households","2012","1,023,797",""
"Chemical and medical wastes (subtotal)","Slovenia","Tonne","Total","All NACE activities plus households","2012","216,629",""
"Chemical and medical wastes (subtotal)","Slovakia","Tonne","Total","All NACE activities plus households","2012","621,312",""
"Chemical and medical wastes (subtotal)","Finland","Tonne","Total","All NACE activities plus households","2012","902,795",""
"Chemical and medical wastes (subtotal)","Sweden","Tonne","Total","All NACE activities plus households","2012","1,442,118",""
"Chemical and medical wastes (subtotal)","United Kingdom","Tonne","Total","All NACE activities plus households","2012","5,045,302",""
"Chemical and medical wastes (subtotal)","Iceland","Tonne","Total","All NACE activities plus households","2012","8,680",""
"Chemical and medical wastes (subtotal)","Liechtenstein","Tonne","Total","All NACE activities plus households","2012","958",""
"Chemical and medical wastes (subtotal)","Norway","Tonne","Total","All NACE activities plus households","2012","1,052,088",""
"Chemical and medical wastes (subtotal)","Montenegro","Tonne","Total","All NACE activities plus households","2012","12,081",""
"Chemical and medical wastes (subtotal)","Former Yugoslav Republic of Macedonia, the","Tonne","Total","All NACE activities plus households","2012","12,776",""
"Chemical and medical wastes (subtotal)","Serbia","Tonne","Total","All NACE activities plus households","2012","61,716",""
"Chemical and medical wastes (subtotal)","Turkey","Tonne","Total","All NACE activities plus households","2012","1,335,719",""
"Chemical and medical wastes (subtotal)","Bosnia and Herzegovina","Tonne","Total","All NACE activities plus households","2012","70,058",""
"Chemical and medical wastes (subtotal)","Kosovo (under United Nations Security Council Resolution 1244/99)","Tonne","Total","All NACE activities plus households","2012","6,608",""
"Recyclable wastes (subtotal, W06+W07 except W077)","European Union (28 countries)","Tonne","Total","All NACE activities plus households","2012","242,390,000",""
"Recyclable wastes (subtotal, W06+W07 except W077)","European Union (27 countries)","Tonne","Total","All NACE activities plus households","2012","241,610,000",""
"Recyclable wastes (subtotal, W06+W07 except W077)","European Union (25 countries)","Tonne","Total","All NACE activities plus households","2012","234,180,000",""
"Recyclable wastes (subtotal, W06+W07 except W077)","European Union (15 countries)","Tonne","Total","All NACE activities plus households","2012","208,130,000",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Belgium","Tonne","Total","All NACE activities plus households","2012","12,836,611",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Bulgaria","Tonne","Total","All NACE activities plus households","2012","1,925,085",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Czech Republic","Tonne","Total","All NACE activities plus households","2012","4,808,611",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Denmark","Tonne","Total","All NACE activities plus households","2012","3,261,161",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Germany (until 1990 former territory of the FRG)","Tonne","Total","All NACE activities plus households","2012","37,283,685",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Estonia","Tonne","Total","All NACE activities plus households","2012","1,492,849",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Ireland","Tonne","Total","All NACE activities plus households","2012","1,360,522",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Greece","Tonne","Total","All NACE activities plus households","2012","2,000,459",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Spain","Tonne","Total","All NACE activities plus households","2012","13,352,299",""
"Recyclable wastes (subtotal, W06+W07 except W077)","France","Tonne","Total","All NACE activities plus households","2012","33,735,163",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Croatia","Tonne","Total","All NACE activities plus households","2012","781,475",""
"Recyclable wastes (subtotal, W06+W07 except W077)","Italy","Tonne","Total","All NACE activities plus households","2012","25,740,527",""
