"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","7,817.9",""
"2005","European Union (28 countries)","Terajoule","Waste (non-renewable)","Gross inland consumption","327,319",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","5,803.1",""
"2005","Euro area (19 countries)","Terajoule","Waste (non-renewable)","Gross inland consumption","242,963",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","502.1",""
"2005","Belgium","Terajoule","Waste (non-renewable)","Gross inland consumption","21,024",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","58.3",""
"2005","Bulgaria","Terajoule","Waste (non-renewable)","Gross inland consumption","2,442",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","171.9",""
"2005","Czech Republic","Terajoule","Waste (non-renewable)","Gross inland consumption","7,199",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","406.2",""
"2005","Denmark","Terajoule","Waste (non-renewable)","Gross inland consumption","17,006",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","1,844.8",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Waste (non-renewable)","Gross inland consumption","77,240",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","0.0",""
"2005","Estonia","Terajoule","Waste (non-renewable)","Gross inland consumption","0",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","0.0",""
"2005","Ireland","Terajoule","Waste (non-renewable)","Gross inland consumption","0",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","24.8",""
"2005","Greece","Terajoule","Waste (non-renewable)","Gross inland consumption","1,040",""
"2005","Spain","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","189.3",""
"2005","Spain","Terajoule","Waste (non-renewable)","Gross inland consumption","7,924",""
"2005","France","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","1,057.9",""
"2005","France","Terajoule","Waste (non-renewable)","Gross inland consumption","44,293",""
"2005","Croatia","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","4.2",""
"2005","Croatia","Terajoule","Waste (non-renewable)","Gross inland consumption","176",""
"2005","Italy","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","672.8",""
"2005","Italy","Terajoule","Waste (non-renewable)","Gross inland consumption","28,167",""
"2005","Cyprus","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","3.3",""
"2005","Cyprus","Terajoule","Waste (non-renewable)","Gross inland consumption","138",""
"2005","Latvia","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","4.4",""
"2005","Latvia","Terajoule","Waste (non-renewable)","Gross inland consumption","183",""
"2005","Lithuania","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","0.0",""
"2005","Lithuania","Terajoule","Waste (non-renewable)","Gross inland consumption","0",""
"2005","Luxembourg","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","35.1",""
"2005","Luxembourg","Terajoule","Waste (non-renewable)","Gross inland consumption","1,469",""
"2005","Hungary","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","62.4",""
"2005","Hungary","Terajoule","Waste (non-renewable)","Gross inland consumption","2,614",""
"2005","Malta","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","0.0",""
"2005","Malta","Terajoule","Waste (non-renewable)","Gross inland consumption","0",""
"2005","Netherlands","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","718.0",""
"2005","Netherlands","Terajoule","Waste (non-renewable)","Gross inland consumption","30,062",""
"2005","Austria","Thousand TOE (tonnes of oil equivalent)","Waste (non-renewable)","Gross inland consumption","440.6",""
