TIME,GEO,INDUSTRY,EMISSION;;
2004,European Union (28 countries),Total - All NACE activities,:;;
"2004,European Union (28 countries),""Agriculture, forestry and fishing"",:";;
2004,European Union (28 countries),Mining and quarrying,:;;
2004,European Union (28 countries),Manufacturing,:;;
"2004,European Union (28 countries),""Electricity, gas, steam and air conditioning supply"",:";;
"2004,European Union (28 countries),""Water supply";" sewerage, waste management and remediation activities"",:";
2004,European Union (28 countries),Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,European Union (28 countries),Transportation and storage,:;;
2004,European Union (28 countries),Accommodation and food service activities,:;;
2004,European Union (28 countries),Information and communication,:;;
2004,European Union (28 countries),Financial and insurance activities,:;;
2004,European Union (28 countries),Real estate activities,:;;
"2004,European Union (28 countries),""Professional, scientific and technical activities"",:";;
2004,European Union (28 countries),Administrative and support service activities,:;;
2004,European Union (28 countries),Public administration and defence; compulsory social security,:;
2004,European Union (28 countries),Education,:;;
2004,European Union (28 countries),Human health and social work activities,:;;
"2004,European Union (28 countries),""Arts, entertainment and recreation"",:";;
2004,European Union (28 countries),Other service activities,:;;
2004,European Union (28 countries),Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,European Union (28 countries),Activities of extraterritorial organisations and bodies,:;;
2004,European Union (27 countries),Total - All NACE activities,:;;
"2004,European Union (27 countries),""Agriculture, forestry and fishing"",:";;
2004,European Union (27 countries),Mining and quarrying,:;;
2004,European Union (27 countries),Manufacturing,:;;
"2004,European Union (27 countries),""Electricity, gas, steam and air conditioning supply"",:";;
"2004,European Union (27 countries),""Water supply";" sewerage, waste management and remediation activities"",:";
2004,European Union (27 countries),Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,European Union (27 countries),Transportation and storage,:;;
2004,European Union (27 countries),Accommodation and food service activities,:;;
2004,European Union (27 countries),Information and communication,:;;
2004,European Union (27 countries),Financial and insurance activities,:;;
2004,European Union (27 countries),Real estate activities,:;;
"2004,European Union (27 countries),""Professional, scientific and technical activities"",:";;
2004,European Union (27 countries),Administrative and support service activities,:;;
2004,European Union (27 countries),Public administration and defence; compulsory social security,:;
2004,European Union (27 countries),Education,:;;
2004,European Union (27 countries),Human health and social work activities,:;;
"2004,European Union (27 countries),""Arts, entertainment and recreation"",:";;
2004,European Union (27 countries),Other service activities,:;;
2004,European Union (27 countries),Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,European Union (27 countries),Activities of extraterritorial organisations and bodies,:;;
"2004,Belgium,Total - All NACE activities,""102,371,637""";;
"2004,Belgium,""Agriculture, forestry and fishing"",""2,771,869""";;
"2004,Belgium,Mining and quarrying,""14,394""";;
"2004,Belgium,Manufacturing,""45,156,202""";;
"2004,Belgium,""Electricity, gas, steam and air conditioning supply"",""24,242,852""";;
"2004,Belgium,""Water supply";" sewerage, waste management and remediation activities"",""703,096""";
2004,Belgium,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""3,053,350""";
"2004,Belgium,Transportation and storage,""16,348,424""";;
"2004,Belgium,Accommodation and food service activities,""622,926""";;
"2004,Belgium,Information and communication,""605,551""";;
"2004,Belgium,Financial and insurance activities,""216,211""";;
"2004,Belgium,Real estate activities,""121,521""";;
"2004,Belgium,""Professional, scientific and technical activities"",""939,936""";;
"2004,Belgium,Administrative and support service activities,""1,532,018""";;
2004,Belgium,Public administration and defence;" compulsory social security,""1,613,880""";
"2004,Belgium,Education,""840,137""";;
"2004,Belgium,Human health and social work activities,""765,062""";;
"2004,Belgium,""Arts, entertainment and recreation"",""210,235""";;
"2004,Belgium,Other service activities,""367,242""";;
2004,Belgium,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0;
2004,Belgium,Activities of extraterritorial organisations and bodies,0;;
2004,Bulgaria,Total - All NACE activities,:;;
"2004,Bulgaria,""Agriculture, forestry and fishing"",:";;
2004,Bulgaria,Mining and quarrying,:;;
2004,Bulgaria,Manufacturing,:;;
"2004,Bulgaria,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Bulgaria,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Bulgaria,Transportation and storage,:;;
2004,Bulgaria,Accommodation and food service activities,:;;
2004,Bulgaria,Information and communication,:;;
2004,Bulgaria,Financial and insurance activities,:;;
2004,Bulgaria,Real estate activities,:;;
"2004,Bulgaria,""Professional, scientific and technical activities"",:";;
2004,Bulgaria,Administrative and support service activities,:;;
2004,Bulgaria,Public administration and defence; compulsory social security,:;
2004,Bulgaria,Education,:;;
2004,Bulgaria,Human health and social work activities,:;;
"2004,Bulgaria,""Arts, entertainment and recreation"",:";;
2004,Bulgaria,Other service activities,:;;
2004,Bulgaria,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Bulgaria,Activities of extraterritorial organisations and bodies,:;;
2004,Czech Republic,Total - All NACE activities,:;;
"2004,Czech Republic,""Agriculture, forestry and fishing"",:";;
2004,Czech Republic,Mining and quarrying,:;;
2004,Czech Republic,Manufacturing,:;;
"2004,Czech Republic,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Czech Republic,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Czech Republic,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Czech Republic,Transportation and storage,:;;
2004,Czech Republic,Accommodation and food service activities,:;;
2004,Czech Republic,Information and communication,:;;
2004,Czech Republic,Financial and insurance activities,:;;
2004,Czech Republic,Real estate activities,:;;
"2004,Czech Republic,""Professional, scientific and technical activities"",:";;
2004,Czech Republic,Administrative and support service activities,:;;
2004,Czech Republic,Public administration and defence; compulsory social security,:;
2004,Czech Republic,Education,:;;
2004,Czech Republic,Human health and social work activities,:;;
"2004,Czech Republic,""Arts, entertainment and recreation"",:";;
2004,Czech Republic,Other service activities,:;;
2004,Czech Republic,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Czech Republic,Activities of extraterritorial organisations and bodies,:;;
"2004,Denmark,Total - All NACE activities,""72,278,594""";;
"2004,Denmark,""Agriculture, forestry and fishing"",""2,466,531""";;
"2004,Denmark,Mining and quarrying,""2,568,145""";;
"2004,Denmark,Manufacturing,""7,819,421""";;
"2004,Denmark,""Electricity, gas, steam and air conditioning supply"",""23,400,971""";;
"2004,Denmark,""Water supply";" sewerage, waste management and remediation activities"",""1,000,948""";
2004,Denmark,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""1,136,978""";
"2004,Denmark,Transportation and storage,""30,641,024""";;
"2004,Denmark,Accommodation and food service activities,""114,486""";;
"2004,Denmark,Information and communication,""100,079""";;
"2004,Denmark,Financial and insurance activities,""68,929""";;
"2004,Denmark,Real estate activities,""108,686""";;
"2004,Denmark,""Professional, scientific and technical activities"",""196,248""";;
"2004,Denmark,Administrative and support service activities,""249,409""";;
2004,Denmark,Public administration and defence;" compulsory social security,""424,680""";
"2004,Denmark,Education,""137,708""";;
"2004,Denmark,Human health and social work activities,""223,411""";;
"2004,Denmark,""Arts, entertainment and recreation"",""77,123""";;
"2004,Denmark,Other service activities,""116,572""";;
2004,Denmark,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0;
2004,Denmark,Activities of extraterritorial organisations and bodies,0;;
2004,Germany,Total - All NACE activities,:;;
"2004,Germany,""Agriculture, forestry and fishing"",:";;
2004,Germany,Mining and quarrying,:;;
2004,Germany,Manufacturing,:;;
"2004,Germany,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Germany,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Germany,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Germany,Transportation and storage,:;;
2004,Germany,Accommodation and food service activities,:;;
2004,Germany,Information and communication,:;;
2004,Germany,Financial and insurance activities,:;;
2004,Germany,Real estate activities,:;;
"2004,Germany,""Professional, scientific and technical activities"",:";;
2004,Germany,Administrative and support service activities,:;;
2004,Germany,Public administration and defence; compulsory social security,:;
2004,Germany,Education,:;;
2004,Germany,Human health and social work activities,:;;
"2004,Germany,""Arts, entertainment and recreation"",:";;
2004,Germany,Other service activities,:;;
2004,Germany,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Germany,Activities of extraterritorial organisations and bodies,:;;
2004,Estonia,Total - All NACE activities,:;;
"2004,Estonia,""Agriculture, forestry and fishing"",:";;
2004,Estonia,Mining and quarrying,:;;
2004,Estonia,Manufacturing,:;;
"2004,Estonia,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Estonia,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Estonia,Transportation and storage,:;;
2004,Estonia,Accommodation and food service activities,:;;
2004,Estonia,Information and communication,:;;
2004,Estonia,Financial and insurance activities,:;;
2004,Estonia,Real estate activities,:;;
"2004,Estonia,""Professional, scientific and technical activities"",:";;
2004,Estonia,Administrative and support service activities,:;;
2004,Estonia,Public administration and defence; compulsory social security,:;
2004,Estonia,Education,:;;
2004,Estonia,Human health and social work activities,:;;
"2004,Estonia,""Arts, entertainment and recreation"",:";;
2004,Estonia,Other service activities,:;;
2004,Estonia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Estonia,Activities of extraterritorial organisations and bodies,:;;
"2004,Ireland,Total - All NACE activities,""32,923,670""";;
"2004,Ireland,""Agriculture, forestry and fishing"",""1,457,084""";;
"2004,Ireland,Mining and quarrying,""349,399""";;
"2004,Ireland,Manufacturing,""8,745,561""";;
"2004,Ireland,""Electricity, gas, steam and air conditioning supply"",""14,739,250""";;
"2004,Ireland,""Water supply";" sewerage, waste management and remediation activities"",""73,389""";
2004,Ireland,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""1,591,653""";
"2004,Ireland,Transportation and storage,""3,390,942""";;
"2004,Ireland,Accommodation and food service activities,""405,954""";;
"2004,Ireland,Information and communication,""127,195""";;
"2004,Ireland,Financial and insurance activities,""73,574""";;
"2004,Ireland,Real estate activities,""34,864""";;
"2004,Ireland,""Professional, scientific and technical activities"",""156,895""";;
"2004,Ireland,Administrative and support service activities,""114,211""";;
2004,Ireland,Public administration and defence;" compulsory social security,""498,937""";
"2004,Ireland,Education,""316,284""";;
"2004,Ireland,Human health and social work activities,""112,515""";;
"2004,Ireland,""Arts, entertainment and recreation"",""32,615""";;
"2004,Ireland,Other service activities,""105,649""";;
2004,Ireland,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0;
2004,Ireland,Activities of extraterritorial organisations and bodies,0;;
2004,Greece,Total - All NACE activities,:;;
"2004,Greece,""Agriculture, forestry and fishing"",:";;
2004,Greece,Mining and quarrying,:;;
2004,Greece,Manufacturing,:;;
"2004,Greece,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Greece,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Greece,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Greece,Transportation and storage,:;;
2004,Greece,Accommodation and food service activities,:;;
2004,Greece,Information and communication,:;;
2004,Greece,Financial and insurance activities,:;;
2004,Greece,Real estate activities,:;;
"2004,Greece,""Professional, scientific and technical activities"",:";;
2004,Greece,Administrative and support service activities,:;;
2004,Greece,Public administration and defence; compulsory social security,:;
2004,Greece,Education,:;;
2004,Greece,Human health and social work activities,:;;
"2004,Greece,""Arts, entertainment and recreation"",:";;
2004,Greece,Other service activities,:;;
2004,Greece,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Greece,Activities of extraterritorial organisations and bodies,:;;
2004,Spain,Total - All NACE activities,:;;
"2004,Spain,""Agriculture, forestry and fishing"",:";;
2004,Spain,Mining and quarrying,:;;
2004,Spain,Manufacturing,:;;
"2004,Spain,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Spain,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Spain,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Spain,Transportation and storage,:;;
2004,Spain,Accommodation and food service activities,:;;
2004,Spain,Information and communication,:;;
2004,Spain,Financial and insurance activities,:;;
2004,Spain,Real estate activities,:;;
"2004,Spain,""Professional, scientific and technical activities"",:";;
2004,Spain,Administrative and support service activities,:;;
2004,Spain,Public administration and defence; compulsory social security,:;
2004,Spain,Education,:;;
2004,Spain,Human health and social work activities,:;;
"2004,Spain,""Arts, entertainment and recreation"",:";;
2004,Spain,Other service activities,:;;
2004,Spain,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Spain,Activities of extraterritorial organisations and bodies,:;;
2004,France,Total - All NACE activities,:;;
"2004,France,""Agriculture, forestry and fishing"",:";;
2004,France,Mining and quarrying,:;;
2004,France,Manufacturing,:;;
"2004,France,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,France,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,France,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,France,Transportation and storage,:;;
2004,France,Accommodation and food service activities,:;;
2004,France,Information and communication,:;;
2004,France,Financial and insurance activities,:;;
2004,France,Real estate activities,:;;
"2004,France,""Professional, scientific and technical activities"",:";;
2004,France,Administrative and support service activities,:;;
2004,France,Public administration and defence; compulsory social security,:;
2004,France,Education,:;;
2004,France,Human health and social work activities,:;;
"2004,France,""Arts, entertainment and recreation"",:";;
2004,France,Other service activities,:;;
2004,France,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,France,Activities of extraterritorial organisations and bodies,:;;
2004,Croatia,Total - All NACE activities,:;;
"2004,Croatia,""Agriculture, forestry and fishing"",:";;
2004,Croatia,Mining and quarrying,:;;
2004,Croatia,Manufacturing,:;;
"2004,Croatia,""Electricity, gas, steam and air conditioning supply"",:";;
"2004,Croatia,""Water supply";" sewerage, waste management and remediation activities"",:";
2004,Croatia,Wholesale and retail trade; repair of motor vehicles and motorcycles,:;
2004,Croatia,Transportation and storage,:;;
2004,Croatia,Accommodation and food service activities,:;;
2004,Croatia,Information and communication,:;;
2004,Croatia,Financial and insurance activities,:;;
2004,Croatia,Real estate activities,:;;
"2004,Croatia,""Professional, scientific and technical activities"",:";;
2004,Croatia,Administrative and support service activities,:;;
2004,Croatia,Public administration and defence; compulsory social security,:;
2004,Croatia,Education,:;;
2004,Croatia,Human health and social work activities,:;;
"2004,Croatia,""Arts, entertainment and recreation"",:";;
2004,Croatia,Other service activities,:;;
2004,Croatia,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,:;
2004,Croatia,Activities of extraterritorial organisations and bodies,:;;
"2004,Italy,Total - All NACE activities,""381,360,781""";;
"2004,Italy,""Agriculture, forestry and fishing"",""9,149,865""";;
"2004,Italy,Mining and quarrying,""1,773,669""";;
"2004,Italy,Manufacturing,""143,613,862""";;
"2004,Italy,""Electricity, gas, steam and air conditioning supply"",""140,512,679""";;
"2004,Italy,""Water supply";" sewerage, waste management and remediation activities"",""8,459,563""";
2004,Italy,Wholesale and retail trade;" repair of motor vehicles and motorcycles,""9,711,999""";
"2004,Italy,Transportation and storage,""51,353,336""";;
"2004,Italy,Accommodation and food service activities,""1,979,655""";;
"2004,Italy,Information and communication,""316,020""";;
"2004,Italy,Financial and insurance activities,""552,336""";;
"2004,Italy,Real estate activities,""240,756""";;
"2004,Italy,""Professional, scientific and technical activities"",""1,096,065""";;
