"TIME","GEO","INDIC_NRG","UNIT","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1,712.8",""
"2005","European Union (28 countries)","Primary energy consumption","Percentage","0.0",""
"2005","European Union (28 countries)","Primary energy consumption","Index, 2005=100","100.0",""
"2005","European Union (28 countries)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1,191.8",""
"2005","European Union (28 countries)","Final Energy Consumption","Percentage","0.0",""
"2005","European Union (28 countries)","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Euro area (19 countries)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1,202.0",""
"2005","Euro area (19 countries)","Primary energy consumption","Percentage",":",""
"2005","Euro area (19 countries)","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Euro area (19 countries)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","844.6",""
"2005","Euro area (19 countries)","Final Energy Consumption","Percentage",":",""
"2005","Euro area (19 countries)","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Belgium","Primary energy consumption","Million TOE (tonnes of oil equivalent)","51.4",""
"2005","Belgium","Primary energy consumption","Percentage",":",""
"2005","Belgium","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Belgium","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","36.6",""
"2005","Belgium","Final Energy Consumption","Percentage",":",""
"2005","Belgium","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Bulgaria","Primary energy consumption","Million TOE (tonnes of oil equivalent)","18.9",""
"2005","Bulgaria","Primary energy consumption","Percentage",":",""
"2005","Bulgaria","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Bulgaria","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","10.2",""
"2005","Bulgaria","Final Energy Consumption","Percentage",":",""
"2005","Bulgaria","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Czech Republic","Primary energy consumption","Million TOE (tonnes of oil equivalent)","42.2",""
"2005","Czech Republic","Primary energy consumption","Percentage",":",""
"2005","Czech Republic","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Czech Republic","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","26.0",""
"2005","Czech Republic","Final Energy Consumption","Percentage",":",""
"2005","Czech Republic","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Denmark","Primary energy consumption","Million TOE (tonnes of oil equivalent)","19.3",""
"2005","Denmark","Primary energy consumption","Percentage",":",""
"2005","Denmark","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Denmark","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","15.5",""
"2005","Denmark","Final Energy Consumption","Percentage",":",""
"2005","Denmark","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Germany (until 1990 former territory of the FRG)","Primary energy consumption","Million TOE (tonnes of oil equivalent)","317.2",""
"2005","Germany (until 1990 former territory of the FRG)","Primary energy consumption","Percentage",":",""
"2005","Germany (until 1990 former territory of the FRG)","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Germany (until 1990 former territory of the FRG)","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","218.5",""
"2005","Germany (until 1990 former territory of the FRG)","Final Energy Consumption","Percentage",":",""
"2005","Germany (until 1990 former territory of the FRG)","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Estonia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","5.4",""
"2005","Estonia","Primary energy consumption","Percentage",":",""
"2005","Estonia","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Estonia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","2.9",""
"2005","Estonia","Final Energy Consumption","Percentage",":",""
"2005","Estonia","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Ireland","Primary energy consumption","Million TOE (tonnes of oil equivalent)","14.7",""
"2005","Ireland","Primary energy consumption","Percentage",":",""
"2005","Ireland","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Ireland","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","12.6",""
"2005","Ireland","Final Energy Consumption","Percentage",":",""
"2005","Ireland","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Greece","Primary energy consumption","Million TOE (tonnes of oil equivalent)","30.6",""
"2005","Greece","Primary energy consumption","Percentage",":",""
"2005","Greece","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Greece","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","21.0",""
"2005","Greece","Final Energy Consumption","Percentage",":",""
"2005","Greece","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Spain","Primary energy consumption","Million TOE (tonnes of oil equivalent)","135.9",""
"2005","Spain","Primary energy consumption","Percentage",":",""
"2005","Spain","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Spain","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","97.8",""
"2005","Spain","Final Energy Consumption","Percentage",":",""
"2005","Spain","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","France","Primary energy consumption","Million TOE (tonnes of oil equivalent)","259.9",""
"2005","France","Primary energy consumption","Percentage",":",""
"2005","France","Primary energy consumption","Index, 2005=100","100.0",""
"2005","France","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","160.2",""
"2005","France","Final Energy Consumption","Percentage",":",""
"2005","France","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Croatia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","9.1",""
"2005","Croatia","Primary energy consumption","Percentage",":",""
"2005","Croatia","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Croatia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","7.2",""
"2005","Croatia","Final Energy Consumption","Percentage",":",""
"2005","Croatia","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Italy","Primary energy consumption","Million TOE (tonnes of oil equivalent)","181.5",""
"2005","Italy","Primary energy consumption","Percentage",":",""
"2005","Italy","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Italy","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","137.2",""
"2005","Italy","Final Energy Consumption","Percentage",":",""
"2005","Italy","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Cyprus","Primary energy consumption","Million TOE (tonnes of oil equivalent)","2.5",""
"2005","Cyprus","Primary energy consumption","Percentage",":",""
"2005","Cyprus","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Cyprus","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","1.8",""
"2005","Cyprus","Final Energy Consumption","Percentage",":",""
"2005","Cyprus","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Latvia","Primary energy consumption","Million TOE (tonnes of oil equivalent)","4.5",""
"2005","Latvia","Primary energy consumption","Percentage",":",""
"2005","Latvia","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Latvia","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.0",""
"2005","Latvia","Final Energy Consumption","Percentage",":",""
"2005","Latvia","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Lithuania","Primary energy consumption","Million TOE (tonnes of oil equivalent)","7.9",""
"2005","Lithuania","Primary energy consumption","Percentage",":",""
"2005","Lithuania","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Lithuania","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.6",""
"2005","Lithuania","Final Energy Consumption","Percentage",":",""
"2005","Lithuania","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Luxembourg","Primary energy consumption","Million TOE (tonnes of oil equivalent)","4.8",""
"2005","Luxembourg","Primary energy consumption","Percentage",":",""
"2005","Luxembourg","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Luxembourg","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","4.5",""
"2005","Luxembourg","Final Energy Consumption","Percentage",":",""
"2005","Luxembourg","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Hungary","Primary energy consumption","Million TOE (tonnes of oil equivalent)","25.4",""
"2005","Hungary","Primary energy consumption","Percentage",":",""
"2005","Hungary","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Hungary","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","18.2",""
"2005","Hungary","Final Energy Consumption","Percentage",":",""
"2005","Hungary","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Malta","Primary energy consumption","Million TOE (tonnes of oil equivalent)","1.0",""
"2005","Malta","Primary energy consumption","Percentage",":",""
"2005","Malta","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Malta","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","0.4",""
"2005","Malta","Final Energy Consumption","Percentage",":",""
"2005","Malta","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Netherlands","Primary energy consumption","Million TOE (tonnes of oil equivalent)","69.3",""
"2005","Netherlands","Primary energy consumption","Percentage",":",""
"2005","Netherlands","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Netherlands","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","54.2",""
"2005","Netherlands","Final Energy Consumption","Percentage",":",""
"2005","Netherlands","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Austria","Primary energy consumption","Million TOE (tonnes of oil equivalent)","32.5",""
"2005","Austria","Primary energy consumption","Percentage",":",""
"2005","Austria","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Austria","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","27.8",""
"2005","Austria","Final Energy Consumption","Percentage",":",""
"2005","Austria","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Poland","Primary energy consumption","Million TOE (tonnes of oil equivalent)","87.7",""
"2005","Poland","Primary energy consumption","Percentage",":",""
"2005","Poland","Primary energy consumption","Index, 2005=100","100.0",""
"2005","Poland","Final Energy Consumption","Million TOE (tonnes of oil equivalent)","59.0",""
"2005","Poland","Final Energy Consumption","Percentage",":",""
"2005","Poland","Final Energy Consumption","Index, 2005=100","100.0",""
"2005","Portugal","Primary energy consumption","Million TOE (tonnes of oil equivalent)","24.9",""
"2005","Portugal","Primary energy consumption","Percentage",":",""
"2005","Portugal","Primary energy consumption","Index, 2005=100","100.0",""
