"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Gas","Gross inland consumption","445,272.5",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Natural gas","Gross inland consumption","445,171.7",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Derived gases","Gross inland consumption","100.9",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Coke Oven Gas","Gross inland consumption","0.0",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Blast Furnace Gas","Gross inland consumption","0.0",""
"2005","European Union (28 countries)","Terajoule","Gas","Gross inland consumption","18,642,670",""
"2005","European Union (28 countries)","Terajoule","Natural gas","Gross inland consumption","18,638,447",""
"2005","European Union (28 countries)","Terajoule","Derived gases","Gross inland consumption","4,223",""
"2005","European Union (28 countries)","Terajoule","Coke Oven Gas","Gross inland consumption","0",""
"2005","European Union (28 countries)","Terajoule","Blast Furnace Gas","Gross inland consumption","0",""
"2005","European Union (28 countries)","Terajoules (Gross calorific value = GCV)","Gas","Gross inland consumption","20,714,078",""
"2005","European Union (28 countries)","Terajoules (Gross calorific value = GCV)","Natural gas","Gross inland consumption","20,709,386",""
"2005","European Union (28 countries)","Terajoules (Gross calorific value = GCV)","Derived gases","Gross inland consumption","4,692",""
"2005","European Union (28 countries)","Terajoules (Gross calorific value = GCV)","Coke Oven Gas","Gross inland consumption","0",""
"2005","European Union (28 countries)","Terajoules (Gross calorific value = GCV)","Blast Furnace Gas","Gross inland consumption","0",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Gas","Gross inland consumption","303,369.3",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Natural gas","Gross inland consumption","303,327.8",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Derived gases","Gross inland consumption","41.5",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Coke Oven Gas","Gross inland consumption","0.0",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Blast Furnace Gas","Gross inland consumption","0.0",""
"2005","Euro area (19 countries)","Terajoule","Gas","Gross inland consumption","12,701,468",""
"2005","Euro area (19 countries)","Terajoule","Natural gas","Gross inland consumption","12,699,730",""
