"TIME","GEO","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"2005","European Union (28 countries)","Thousand tonnes","Total petroleum products","Gross inland consumption","676,448",""
"2005","European Union (28 countries)","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","702,439",""
"2005","European Union (28 countries)","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","672,798",""
"2005","European Union (28 countries)","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption","16,727",""
"2005","European Union (28 countries)","Thousand tonnes","Refinery feedstocks","Gross inland consumption","8,146",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","680,168.2",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","705,894.0",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","675,073.0",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption","17,905.6",""
"2005","European Union (28 countries)","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","8,142.2",""
"2005","European Union (28 countries)","Terajoule","Total petroleum products","Gross inland consumption","28,477,284",""
"2005","European Union (28 countries)","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","29,554,369",""
"2005","European Union (28 countries)","Terajoule","Crude oil (without NGL)","Gross inland consumption","28,263,957",""
"2005","European Union (28 countries)","Terajoule","Natural gas liquids (NGL)","Gross inland consumption","749,670",""
"2005","European Union (28 countries)","Terajoule","Refinery feedstocks","Gross inland consumption","340,899",""
"2005","Euro area (19 countries)","Thousand tonnes","Total petroleum products","Gross inland consumption","513,773",""
"2005","Euro area (19 countries)","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","524,729",""
"2005","Euro area (19 countries)","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","506,912",""
"2005","Euro area (19 countries)","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption","11,401",""
"2005","Euro area (19 countries)","Thousand tonnes","Refinery feedstocks","Gross inland consumption","3,129",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","515,298.8",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","526,505.9",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","508,165.9",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption","11,969.7",""
"2005","Euro area (19 countries)","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","3,064.3",""
"2005","Euro area (19 countries)","Terajoule","Total petroleum products","Gross inland consumption","21,574,529",""
"2005","Euro area (19 countries)","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","22,043,747",""
"2005","Euro area (19 countries)","Terajoule","Crude oil (without NGL)","Gross inland consumption","21,275,888",""
"2005","Euro area (19 countries)","Terajoule","Natural gas liquids (NGL)","Gross inland consumption","501,146",""
"2005","Euro area (19 countries)","Terajoule","Refinery feedstocks","Gross inland consumption","128,295",""
"2005","Belgium","Thousand tonnes","Total petroleum products","Gross inland consumption","24,661",""
"2005","Belgium","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","32,481",""
"2005","Belgium","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","32,119",""
"2005","Belgium","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Belgium","Thousand tonnes","Refinery feedstocks","Gross inland consumption","362",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","24,670.0",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","32,280.3",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","31,918.0",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Belgium","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","362.3",""
"2005","Belgium","Terajoule","Total petroleum products","Gross inland consumption","1,032,885",""
"2005","Belgium","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","1,351,511",""
"2005","Belgium","Terajoule","Crude oil (without NGL)","Gross inland consumption","1,336,342",""
"2005","Belgium","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Belgium","Terajoule","Refinery feedstocks","Gross inland consumption","15,170",""
"2005","Bulgaria","Thousand tonnes","Total petroleum products","Gross inland consumption","4,970",""
"2005","Bulgaria","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","6,454",""
"2005","Bulgaria","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","6,188",""
"2005","Bulgaria","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Bulgaria","Thousand tonnes","Refinery feedstocks","Gross inland consumption","226",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","4,724.4",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","6,240.2",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","5,984.2",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Bulgaria","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","223.8",""
"2005","Bulgaria","Terajoule","Total petroleum products","Gross inland consumption","197,800",""
"2005","Bulgaria","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","261,263",""
"2005","Bulgaria","Terajoule","Crude oil (without NGL)","Gross inland consumption","250,545",""
"2005","Bulgaria","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Bulgaria","Terajoule","Refinery feedstocks","Gross inland consumption","9,370",""
"2005","Czech Republic","Thousand tonnes","Total petroleum products","Gross inland consumption","9,905",""
"2005","Czech Republic","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","8,103",""
"2005","Czech Republic","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","7,731",""
"2005","Czech Republic","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Czech Republic","Thousand tonnes","Refinery feedstocks","Gross inland consumption","1",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","9,898.8",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","8,068.3",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","7,698.5",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Czech Republic","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","0.9",""
"2005","Czech Republic","Terajoule","Total petroleum products","Gross inland consumption","414,444",""
"2005","Czech Republic","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","337,804",""
"2005","Czech Republic","Terajoule","Crude oil (without NGL)","Gross inland consumption","322,321",""
"2005","Czech Republic","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Czech Republic","Terajoule","Refinery feedstocks","Gross inland consumption","40",""
"2005","Denmark","Thousand tonnes","Total petroleum products","Gross inland consumption","8,103",""
"2005","Denmark","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","7,659",""
"2005","Denmark","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","7,720",""
"2005","Denmark","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Denmark","Thousand tonnes","Refinery feedstocks","Gross inland consumption","-61",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","8,062.8",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","7,632.8",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","7,695.1",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Denmark","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","-62.2",""
"2005","Denmark","Terajoule","Total petroleum products","Gross inland consumption","337,575",""
"2005","Denmark","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","319,572",""
"2005","Denmark","Terajoule","Crude oil (without NGL)","Gross inland consumption","322,177",""
"2005","Denmark","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Denmark","Terajoule","Refinery feedstocks","Gross inland consumption","-2,605",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Total petroleum products","Gross inland consumption","121,251",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","114,728",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","114,694",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Refinery feedstocks","Gross inland consumption","-1,704",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","121,460.0",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","114,268.8",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","114,106.3",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Germany (until 1990 former territory of the FRG)","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","-1,729.7",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Total petroleum products","Gross inland consumption","5,085,285",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","4,784,205",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Crude oil (without NGL)","Gross inland consumption","4,777,402",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Germany (until 1990 former territory of the FRG)","Terajoule","Refinery feedstocks","Gross inland consumption","-72,420",""
"2005","Estonia","Thousand tonnes","Total petroleum products","Gross inland consumption","1,150",""
"2005","Estonia","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","0",""
"2005","Estonia","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Estonia","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Estonia","Thousand tonnes","Refinery feedstocks","Gross inland consumption",":",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","1,175.1",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","0.0",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Estonia","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption",":",""
"2005","Estonia","Terajoule","Total petroleum products","Gross inland consumption","49,200",""
"2005","Estonia","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","0",""
"2005","Estonia","Terajoule","Crude oil (without NGL)","Gross inland consumption",":",""
"2005","Estonia","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Estonia","Terajoule","Refinery feedstocks","Gross inland consumption",":",""
"2005","Ireland","Thousand tonnes","Total petroleum products","Gross inland consumption","8,614",""
"2005","Ireland","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","3,310",""
"2005","Ireland","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","3,306",""
"2005","Ireland","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Ireland","Thousand tonnes","Refinery feedstocks","Gross inland consumption","4",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","8,589.3",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","3,202.0",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","3,197.8",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Ireland","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","4.3",""
"2005","Ireland","Terajoule","Total petroleum products","Gross inland consumption","359,616",""
"2005","Ireland","Terajoule","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","134,063",""
"2005","Ireland","Terajoule","Crude oil (without NGL)","Gross inland consumption","133,884",""
"2005","Ireland","Terajoule","Natural gas liquids (NGL)","Gross inland consumption",":",""
"2005","Ireland","Terajoule","Refinery feedstocks","Gross inland consumption","178",""
"2005","Greece","Thousand tonnes","Total petroleum products","Gross inland consumption","17,958",""
"2005","Greece","Thousand tonnes","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","20,187",""
"2005","Greece","Thousand tonnes","Crude oil (without NGL)","Gross inland consumption","18,671",""
"2005","Greece","Thousand tonnes","Natural gas liquids (NGL)","Gross inland consumption","11",""
"2005","Greece","Thousand tonnes","Refinery feedstocks","Gross inland consumption","1,396",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Total petroleum products","Gross inland consumption","18,119.0",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Crude oil, feedstocks and other hydrocarbons","Gross inland consumption","20,384.8",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Crude oil (without NGL)","Gross inland consumption","18,888.7",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Natural gas liquids (NGL)","Gross inland consumption","10.9",""
"2005","Greece","Thousand TOE (tonnes of oil equivalent)","Refinery feedstocks","Gross inland consumption","1,377.7",""
