TIME;GEO;UNIT;PRODUCT;INDIC_EN;Value;Flag and Footnotes
2005;European Union (28 countries);Thousand TOE (tonnes of oil equivalent);All products;Primary production;903739.1;
2005;Euro area (19 countries);Thousand TOE (tonnes of oil equivalent);All products;Primary production;470376.4;
2005;Belgium;Thousand TOE (tonnes of oil equivalent);All products;Primary production;13654.3;
2005;Bulgaria;Thousand TOE (tonnes of oil equivalent);All products;Primary production;10599.5;
2005;Czech Republic;Thousand TOE (tonnes of oil equivalent);All products;Primary production;32861.4;
2005;Denmark;Thousand TOE (tonnes of oil equivalent);All products;Primary production;30760.7;
2005;Germany (until 1990 former territory of the FRG);Thousand TOE (tonnes of oil equivalent);All products;Primary production;136791.3;
2005;Estonia;Thousand TOE (tonnes of oil equivalent);All products;Primary production;3868.3;
2005;Ireland;Thousand TOE (tonnes of oil equivalent);All products;Primary production;1647.1;
2005;Greece;Thousand TOE (tonnes of oil equivalent);All products;Primary production;10325.5;
2005;Spain;Thousand TOE (tonnes of oil equivalent);All products;Primary production;30005.2;
2005;France;Thousand TOE (tonnes of oil equivalent);All products;Primary production;135631.4;
2005;Croatia;Thousand TOE (tonnes of oil equivalent);All products;Primary production;4753.4;
2005;Italy;Thousand TOE (tonnes of oil equivalent);All products;Primary production;30250.0;
2005;Cyprus;Thousand TOE (tonnes of oil equivalent);All products;Primary production;51.0;
2005;Latvia;Thousand TOE (tonnes of oil equivalent);All products;Primary production;1861.0;
2005;Lithuania;Thousand TOE (tonnes of oil equivalent);All products;Primary production;3851.4;
2005;Luxembourg;Thousand TOE (tonnes of oil equivalent);All products;Primary production;106.7;
2005;Hungary;Thousand TOE (tonnes of oil equivalent);All products;Primary production;10308.0;
2005;Malta;Thousand TOE (tonnes of oil equivalent);All products;Primary production;0.5;
2005;Netherlands;Thousand TOE (tonnes of oil equivalent);All products;Primary production;62469.1;
2005;Austria;Thousand TOE (tonnes of oil equivalent);All products;Primary production;9859.7;
2005;Poland;Thousand TOE (tonnes of oil equivalent);All products;Primary production;77895.7;
2005;Portugal;Thousand TOE (tonnes of oil equivalent);All products;Primary production;3614.7;
2005;Romania;Thousand TOE (tonnes of oil equivalent);All products;Primary production;28166.1;
2005;Slovenia;Thousand TOE (tonnes of oil equivalent);All products;Primary production;3492.1;
