TIME;GEO;UNIT;EMISSION
2004;European Union (28 countries);Thousand tonnes;4,944,709.96
2004;European Union (28 countries);Thousand tonnes;5,391,243
2004;European Union (28 countries);Thousand tonnes;5,266,301.97
2004;European Union (15 countries);Thousand tonnes;4,067,764.57
2004;European Union (15 countries);Thousand tonnes;4,384,945.49
2004;European Union (15 countries);Thousand tonnes;4,265,229.07
2004;Belgium;Thousand tonnes;146,096.85
2004;Belgium;Thousand tonnes;152,950.81
2004;Belgium;Thousand tonnes;149,189.47
2004;Bulgaria;Thousand tonnes;54,918.23
2004;Bulgaria;Thousand tonnes;64,466.71
2004;Bulgaria;Thousand tonnes;64,003.42
2004;Czech Republic;Thousand tonnes;140,258.24
2004;Czech Republic;Thousand tonnes;147,316.52
2004;Czech Republic;Thousand tonnes;146,374.47
2004;Denmark;Thousand tonnes;75,944.6
2004;Denmark;Thousand tonnes;72,247.17
2004;Denmark;Thousand tonnes;69,815.7
2004;Germany (until 1990 former territory of the FRG);Thousand tonnes;1,008,162.72
2004;Germany (until 1990 former territory of the FRG);Thousand tonnes;1,038,741.34
2004;Germany (until 1990 former territory of the FRG);Thousand tonnes;1,017,773.36
2004;Estonia;Thousand tonnes;16,306.17
2004;Estonia;Thousand tonnes;19,182.87
2004;Estonia;Thousand tonnes;19,092.89
2004;Ireland;Thousand tonnes;73,861.32
2004;Ireland;Thousand tonnes;71,443.77
2004;Ireland;Thousand tonnes;69,268.46
2004;Greece;Thousand tonnes;129,960.16
2004;Greece;Thousand tonnes;135,818.93
2004;Greece;Thousand tonnes;132,693.77
2004;Spain;Thousand tonnes;394,460.75
2004;Spain;Thousand tonnes;437,850.25
2004;Spain;Thousand tonnes;426,508.36
2004;France;Thousand tonnes;504,801.62
2004;France;Thousand tonnes;568,283.22
2004;France;Thousand tonnes;552,648.03
2004;Croatia;Thousand tonnes;23,727.54
2004;Croatia;Thousand tonnes;30,636.3
2004;Croatia;Thousand tonnes;30,446.35
2004;Italy;Thousand tonnes;551,265.77
2004;Italy;Thousand tonnes;589,575.05
2004;Italy;Thousand tonnes;580,889.07
2004;Cyprus;Thousand tonnes;8,701
2004;Cyprus;Thousand tonnes;10,250.62
2004;Cyprus;Thousand tonnes;9,344.16
2004;Latvia;Thousand tonnes;6,399.79
2004;Latvia;Thousand tonnes;11,000.47
2004;Latvia;Thousand tonnes;10,850.9
2004;Lithuania;Thousand tonnes;15,074.14
2004;Lithuania;Thousand tonnes;22,197.17
2004;Lithuania;Thousand tonnes;22,091.9
2004;Luxembourg;Thousand tonnes;12,540.23
2004;Luxembourg;Thousand tonnes;14,285.98
2004;Luxembourg;Thousand tonnes;12,969.21
2004;Hungary;Thousand tonnes;72,994.12
2004;Hungary;Thousand tonnes;76,848.95
2004;Hungary;Thousand tonnes;76,164.59
2004;Malta;Thousand tonnes;2,862.61
2004;Malta;Thousand tonnes;3,138.16
2004;Malta;Thousand tonnes;2,865.25
2004;Netherlands;Thousand tonnes;225,446.61
2004;Netherlands;Thousand tonnes;229,922.83
2004;Netherlands;Thousand tonnes;219,228.53
2004;Austria;Thousand tonnes;81,849.22
2004;Austria;Thousand tonnes;93,266.22
2004;Austria;Thousand tonnes;91,523.36
2004;Poland;Thousand tonnes;353,003.16
2004;Poland;Thousand tonnes;398,978.43
2004;Poland;Thousand tonnes;398,160.76
2004;Portugal;Thousand tonnes;77,306.3
2004;Portugal;Thousand tonnes;87,601.56
2004;Portugal;Thousand tonnes;85,408.08
2004;Romania;Thousand tonnes;126,491.35
2004;Romania;Thousand tonnes;150,416.12
2004;Romania;Thousand tonnes;149,948.26
2004;Slovenia;Thousand tonnes;13,012.24
2004;Slovenia;Thousand tonnes;20,201.15
2004;Slovenia;Thousand tonnes;20,144.39
2004;Slovakia;Thousand tonnes;43,196.79
2004;Slovakia;Thousand tonnes;51,664.05
2004;Slovakia;Thousand tonnes;51,585.57
2004;Finland;Thousand tonnes;52,609.27
2004;Finland;Thousand tonnes;82,513.74
2004;Finland;Thousand tonnes;81,214.93
2004;Sweden;Thousand tonnes;29,091.56
2004;Sweden;Thousand tonnes;71,184.13
2004;Sweden;Thousand tonnes;69,387.32
2004;United Kingdom;Thousand tonnes;704,367.58
2004;United Kingdom;Thousand tonnes;739,260.52
2004;United Kingdom;Thousand tonnes;706,711.42
2004;Iceland;Thousand tonnes;15,717.18
2004;Iceland;Thousand tonnes;4,464.01
2004;Iceland;Thousand tonnes;4,084.92
2005;European Union (28 countries);Thousand tonnes;4,903,304.13
2005;European Union (28 countries);Thousand tonnes;5,355,547.72
